file,year,model
images/XPERIA/2017/PF41_StaticWallpaper_Black.png,2017,PF41
images/XPERIA/2017/SM11L_StaticWallpaper_Gold.png,2017,SM11L
images/XPERIA/2017/PF41_StaticWallpaper_blue.png,2017,PF41
images/XPERIA/2017/SM11L_StaticWallpaper_Pink.png,2017,SM11L
images/XPERIA/2018/0004_Home_SM42_Black.png,2018,SM42
images/XPERIA/2018/Bubbles_Hi_v001_Black.0074.png,2018,SM42
images/XPERIA/2018/0005_Home_SM42_Gold.png,2018,SM42
images/XPERIA/2018/Bubbles_Hi_v001_Green.0074.png,2018,Unknown
images/XPERIA/2018/0006_Home_SM42_Silver.png,2018,SM42
images/XPERIA/2018/Bubbles_Hi_v001_Pink.0074.png,2018,Unknown
images/XPERIA/2018/0007_Home_SM42_Green.png,2018,SM42
images/XPERIA/2018/Bubbles_Hi_v001_Silver.0074.png,2018,Unknown
images/XPERIA/2019/190122_DiffusedR_Purple_Square.png,2019,Unknown
images/XPERIA/2019/190122_DiffusedR_White_Square.png,2019,Unknown
images/XPERIA/2019/190122_Dreamscape_Black_Square.png,2019,Unknown
images/XPERIA/2019/PF13_ColourTune_storeFront_black_lock.png,2019,Unknown
images/XPERIA/2019/PF13_ColourTune_storeFront_gray_lock.png,2019,Unknown
images/XPERIA/2019/PF13_ColourTune_storeFront_purple_lock.png,2019,Unknown
images/XPERIA/2019/PF13_ColourTune_storeFront_white_lock.png,2019,Unknown
images/XPERIA/2019/black.jpg,2019,Unknown
images/XPERIA/2019/blue.jpg,2019,Unknown
images/XPERIA/2019/red.jpg,2019,Unknown
images/XPERIA/2019/silver.jpg,2019,Unknown
images/XPERIA/2020/201_black.jpg,2020,201
images/XPERIA/2020/203_Purple.png,2020,203
images/XPERIA/2020/206_Lock_GRAY.png,2020,206
images/XPERIA/2020/201_blue.jpg,2020,201
images/XPERIA/2020/203_White.png,2020,203
images/XPERIA/2020/206_Lock_PINK.png,2020,206
images/XPERIA/2020/201_mint.jpg,2020,201
images/XPERIA/2020/204_p.png,2020,204
images/XPERIA/2020/206_Lock_PURPLE.png,2020,206
images/XPERIA/2020/201_white.jpg,2020,201
images/XPERIA/2020/206_Lock_BLACK.png,2020,206
images/XPERIA/2020/203_Black.png,2020,203
images/XPERIA/2020/206_Lock_BLUE.png,2020,206
